Varient_Name,Average_stars,Review_title,User_rating,Review_description
Harley Davidson X440,4.1,Good Bike,4,It's great to see Harley introducing a bike for the Average Segment. This bike has the potential to be a game-changer for the Harley team in India.
Harley Davidson X440,4.1,"Power, Performance, and Unforgettable Style",4,"The Harley Davidson X400 is a motorcycle that encapsulates the spirit of the iconic brand while offering a unique blend of power, performance, and style. As an avid motorcycle enthusiast, I had the opportunity to test-ride the X400, and I must say, it left a lasting impression."
Harley Davidson X440,4.1,Harley Davidson X440 Exhilarating,4,"The newly launched Harley Davidson X440 Vivid variant bike is a true testament to the brand's legacy of power, style, and exhilarating riding experiences. With its sleek design and powerful performance, this motorcycle sets a new standard in the world of two-wheeled wonders."
Harley Davidson Fat Bob,4.7,Awesome Bike ,5,It is an awesome bike. The look is classic. It gives a great performance. Overall it is worth a purchase. 
Harley Davidson Fat Bob,4.7,Harley Davidson FAT BOY,5,It is excellent in the road and very macho performance looks like a beast in motorcycles really good it is a 1800cc bike.
Harley Davidson Street Glide Special,4.0,Extremely Powerful Bike,4,"Extremely powerful bike. Very excited about riding it whenever I get on the bike, it has never stopped surprising with its power bill now also."
Harley Davidson Sportster S,4.3,Fully Adventurous Bike ,4,"Outstanding bike, it has an awesome look and well performance. The sound is just amazing, and the comfort level is so good. A fully adventurous bike. And Is has a powerful engine. "
Harley Davidson Sportster S,4.3,Awesome bike.,5,This is a complete future bike and the design and the power of the bike is amazing. I am waiting for the Custom 1250.
Harley Davidson Nightster,4.5,Harley Best Bike For Attraction And Style,5,Best bike for attraction and style. It is the best for cruising at the speed of 100 and feeling the road.
Harley Davidson Sportster S,4.3,One of the strongest bike with a powerful engine.,4,"The Harley Davidson Sportster STD is a thrilling powerhouse. Its muscular design, powerful engine, and exceptional handling make for an exhilarating riding experience. With its bold presence on the road, this bike offers a perfect blend of performance and style for motorcycle enthusiasts."
Harley Davidson Fat Bob,4.7,Awesome Bike.,4,"Nice bike, nice handling safety is on next level, looks very stunning, its a pleasure to buy this bike its a superb bike and my dream bike its pack of power has everything which you want on cruiser bike I definitely recommend to those who are looking for cruiser bike with a bundle of features in pack of power."
Harley Davidson Sportster S,4.3,Good Bike,4,"This is my favorite one. When I drive this bike, I feel that it's full of safety features."
Harley Davidson Nightster,4.5,Amazing Bike,4,"It feels beautifully balanced. packing 90 horses in solid classics weighing just 481lb. After riding you will feel better than any other Harley Davidson bike, really lovely engine with a great compromise between torque availability and peak power that equates to easy to explore."
Harley Davidson Street Glide Special,4.0,Harley-Davidson Street Glide Special: A Road King ,4,"The Harley-Davidson Street Glide Special is a machine that embodies the true essence of the American touring motorcycle. It combines a powerful presence, advanced technology, and an unmistakable Harley-Davidson DNA, all in one package. Having had the opportunity to experience this captivating ride firsthand, I can confidently say that the Street Glide Special is a remarkable touring motorcycle."
Harley Davidson Street Glide Special,4.0,Good Bike To Ride,4,Good bike to ride with a comfortable seating position. It has a good-looking design and a very powerful engine with excellent engineering and build quality.
Harley Davidson X440,4.1,Excellent Performance,4,"Great bike under this budget, with amazing performance. so much comfortable and looks wise worth every penny"
Harley Davidson Fat Boy 114,5.0,Best cruiser bike,5,"The new Harley Davidson Fatboy is an Urban muscle brawler in looks & probably the best looking cruiser motorcycle in the world, this M8 Fatboy is smooth on the ride & has loads of power In the Engine, due to its low ground clearance, should be careful with the speed beakers & with the Fat tyre on both front 160 mm & back 240 mm, will take few rides for the rider to Manoeuvre this Big Fatboy. "
Harley Davidson X440,4.1,Affordable Bike,3,"It is the most affordable Harley to add to your collection. With its latest technology, it is bound to satisfy all your biking needs."
Harley Davidson X440,4.1,First Look Of Harley 440,4,"As of now, the Design Outcome is Good aesthetic is Perfect Let us See the Performance Mileage Hopefully will Have Some Margin Safety and Will Not be a Concern for Harley."
Harley Davidson Fat Boy 114,5.0,Best Bike In This Range,5,Best bike in this segment with lots of features and ride comfort with a muscle engine of 1800cc look attractive.
Harley Davidson X440,4.1,Modern And Stylish Bike,4,"Harley Davidson X440 is a newly launched bike, and I am purely liking this bike. X440 has built with good quality materials which makes it more sturdy and strong so that it becomes more durable. The design of the Harley X440 is super stylish and fashionable. I can't get my eyes off this bike as it's looking soo cool as it is a Cruiser Bike. Not only that Harley Davidson x440 comes in 3 different variants which is the best thing."
Harley Davidson X440,4.1,Best Beast ,4,"As an avid motorcycle enthusiast, I recently had the pleasure of test-riding the Harley Davidson X440, and it left me with an adrenaline rush like no other. The X440 is undeniably a beast of a machine, designed to deliver raw power and an exhilarating riding experience that will leave you wanting more."
Harley Davidson X440,4.1,Amazing Bike In This Segment,5,"It is the very great bike in this segment, it has a muscular body, and the looks are also amazing. We'll explore the key aspects that make Harley-Davidson motorcycles stand out and discuss their overall appeal."
Harley Davidson X440,4.1,Best Bike In Segment,4,This is one of the best bikes in this segment and the first time the company has introduced the bike in this segment must try a test drive. If you liked the ride then it is the best option.
Harley Davidson X440,4.1,Harley's Experience,5,It's very comfortable for riding in hilly areas. I like to ride Harley for their mileage And many more. This bike is the best bike for the Budget segment also.
Harley Davidson X440,4.1,Unleash The Spirit Of The Road,4,"The Harley Davidson bike is a true icon of the open road. Its powerful engine and distinctive design make every ride an exhilarating experience. The roar of the exhaust and the smooth handling create a sense of freedom like no other. The attention to detail and craftsmanship is evident in every aspect of the bike. Riding a Harley Davidson is not just a mode of transportation, it's a lifestyle. Whether cruising down the highway or exploring winding country roads, this bike never fails to deliver an unforgettable ride."
Harley Davidson X440,4.1,Good Bike,5,It best ever engine and has a comfortable classy look with the best speedometer and breaking.
Harley Davidson X440,4.1,Good Fuel Capacity,4,"Harley Davidson X440 is one of the best bikes for going on a trip, as it has a good fuel capacity and 440 cc air-cooled engine, as they say. The X440 has front and rear brakes. We can enjoy the journey as it has Bluetooth Connectivity, a USB Charging port, and many more features. As I love going on road trips with my friends, so if this bike proves all its claims, then it will be the best choice for me to purchase. I hope I have a good test drive."
Harley Davidson X440,4.1,Excellent pricing ,3,"The Harley-Davidson X440 is a well-rounded product and serves as the perfect entry point into the Harley-Davidson family. It has excellent pricing, decent performance and a good set of features. It is lighter than the rivaling Royal Enfield Classic 350 but has a large wheelbase and similar seat height. The X440 takes its design inspiration from Harley’s XR1200 and is a good-looking motorcycle in that sense."
Harley Davidson X440,4.1,An Eye Catching Bike,4,"The Harley-Davidson X440 is a roadster-style bike. It is a butch street bike with a large tank, a round headlamp, and a good-looking tail section. The Davidson X440 is mostly made of good-quality metal. The function and design of this bike are very cool. It lacks some features, but it's quite good in this price range. Its range starts from Rs. 2.29 to 2.69 Lakh. It has an engine capacity of 440 cc. It gives an overall mileage of 35 km."
Harley Davidson X440,4.1,About His Quality's,3,This bike is awesome but has many problems with the bike. This bike is better than Royal Enfield because Royal Enfield does heavy. And this bike's mileage is lower than Enfield's. And this seat's comfort is lower than Enfield's. And the bike's speed is awesome.
Harley Davidson X440,4.1,Best Bike Ever,4,"This is the best ever bike for a man who belongs to a middle-class family, and its features are really really good. I have had the best bike ride experience ever with this bike."
Harley Davidson X440,4.1,Affordable Bike With Great Look,5,Affordable bike with a great look. Excited to get a test drive and plan for a must-buy.
